N;K;count_it;start;end;result;mod
262144;10;4;642834358425644;642834367624786;3.51;forward
262144;10;5;642834368577767;642834378192488;3.67;forward
262144;10;6;642834379223485;642834388829250;3.66;forward
262144;10;7;642834389854028;642834399266052;3.59;forward
262144;10;8;642834400260524;642834409361135;3.47;forward
262144;10;9;642834410261513;642834419269744;3.44;forward
262144;10;0;642834420305413;642834429269350;3.42;reverse
262144;10;1;642834430240151;642834439238637;3.43;reverse
262144;10;2;642834440229658;642834449289004;3.46;reverse
262144;10;3;642834450187786;642834459177859;3.43;reverse
262144;10;4;642834460127734;642834469073909;3.41;reverse
262144;10;5;642834470060252;642834479009635;3.41;reverse
262144;10;6;642834479907490;642834489023785;3.48;reverse
262144;10;7;642834489922044;642834498885670;3.42;reverse
262144;10;8;642834499853559;642834508850905;3.43;reverse
262144;10;9;642834509850339;642834518797874;3.41;reverse
262144;10;0;642834527132324;642834557062260;11.42;random
262144;10;1;642834560093722;642834590142879;11.46;random
262144;10;2;642834593206908;642834623385368;11.51;random
262144;10;3;642834626369650;642834656740561;11.59;random
262144;10;4;642834659829984;642834689815193;11.44;random
262144;10;5;642834692806239;642834722875081;11.47;random
262144;10;6;642834725889968;642834755779371;11.40;random
262144;10;7;642834758927282;642834789115096;11.52;random
262144;10;8;642834792136253;642834822610335;11.62;random
262144;10;9;642834825707350;642834855719042;11.45;random
524288;10;0;642834858574395;642834876596394;3.44;forward
524288;10;1;642834878512023;642834896655479;3.46;forward
524288;10;2;642834898503700;642834916487975;3.43;forward
524288;10;3;642834918390027;642834936404099;3.44;forward
524288;10;4;642834938261701;642834956316132;3.44;forward
524288;10;5;642834958218736;642834976162825;3.42;forward
524288;10;6;642834978037269;642834996001177;3.43;forward
524288;10;7;642834997851883;642835015891532;3.44;forward
524288;10;8;642835017818116;642835035911672;3.45;forward
524288;10;9;642835037742127;642835055701199;3.43;forward
524288;10;0;642835057816614;642835075830484;3.44;reverse
524288;10;1;642835077634449;642835095760136;3.46;reverse
524288;10;2;642835097561901;642835115620789;3.44;reverse
524288;10;3;642835117424323;642835136480298;3.63;reverse
524288;10;4;642835138418494;642835156868513;3.52;reverse
524288;10;5;642835158672208;642835176724469;3.44;reverse
524288;10;6;642835178633198;642835196675890;3.44;reverse
524288;10;7;642835198536615;642835216607447;3.45;reverse
524288;10;8;642835218520072;642835236573461;3.44;reverse
524288;10;9;642835238441341;642835256460538;3.44;reverse
524288;10;0;642835279374982;642835404313917;23.83;random
524288;10;1;642835416581863;642835538367067;23.23;random
524288;10;2;642835550613772;642835673269410;23.39;random
524288;10;3;642835685552627;642835807748556;23.31;random
524288;10;4;642835819892081;642835943297641;23.54;random
524288;10;5;642835956018898;642836078951647;23.45;random
524288;10;6;642836091111553;642836240092202;28.42;random
524288;10;7;642836252046244;642836373881403;23.24;random
524288;10;8;642836387283073;642836507983232;23.02;random
524288;10;9;642836520581031;642836640474833;22.87;random
1048576;10;0;642836646287651;642836682651630;3.47;forward
1048576;10;1;642836686309233;642836722173932;3.42;forward
1048576;10;2;642836725900093;642836762224578;3.46;forward
1048576;10;3;642836765900421;642836802296462;3.47;forward
1048576;10;4;642836806087380;642836842068788;3.43;forward
1048576;10;5;642836845783046;642836881704896;3.43;forward
1048576;10;6;642836885360787;642836925038324;3.78;forward
1048576;10;7;642836928991167;642836967655054;3.69;forward
1048576;10;8;642836971513775;642837008094329;3.49;forward
1048576;10;9;642837011691746;642837048132239;3.48;forward
1048576;10;0;642837052294384;642837088815702;3.48;reverse
1048576;10;1;642837092663924;642837131242766;3.68;reverse
1048576;10;2;642837135067807;642837173189367;3.64;reverse
1048576;10;3;642837176781202;642837214816399;3.63;reverse
1048576;10;4;642837218684587;642837257351801;3.69;reverse
1048576;10;5;642837261236488;642837298750035;3.58;reverse
1048576;10;6;642837302405109;642837338334605;3.43;reverse
1048576;10;7;642837341957244;642837377857170;3.42;reverse
1048576;10;8;642837381638872;642837418031554;3.47;reverse
1048576;10;9;642837421808517;642837460019764;3.64;reverse
1048576;10;0;642837518211601;642837927060265;38.99;random
1048576;10;1;642837965639345;642838337316568;35.45;random
1048576;10;2;642838374585602;642838749826608;35.79;random
1048576;10;3;642838788822970;642839163434570;35.73;random
1048576;10;4;642839197224355;642839542364107;32.92;random
1048576;10;5;642839575976025;642839918323835;32.65;random
1048576;10;6;642839952489990;642840296843758;32.84;random
1048576;10;7;642840331923795;642840684774916;33.65;random
1048576;10;8;642840718271425;642841053612435;31.98;random
1048576;10;9;642841087089603;642841424758779;32.20;random
2097152;10;0;642841435554578;642841508153612;3.46;forward
2097152;10;1;642841515387889;642841587574488;3.44;forward
2097152;10;2;642841594808470;642841667117460;3.45;forward
2097152;10;3;642841674365425;642841746512634;3.44;forward
2097152;10;4;642841753784753;642841825849839;3.44;forward
2097152;10;5;642841833066653;642841905298378;3.44;forward
2097152;10;6;642841912534476;642841986550273;3.53;forward
2097152;10;7;642841993772112;642842065822930;3.44;forward
2097152;10;8;642842073076228;642842145207365;3.44;forward
2097152;10;9;642842152421955;642842224552540;3.44;forward
2097152;10;0;642842232622321;642842304787348;3.44;reverse
2097152;10;1;642842312059168;642842384304464;3.44;reverse
2097152;10;2;642842391574735;642842463649564;3.44;reverse
2097152;10;3;642842470926700;642842542864701;3.43;reverse
2097152;10;4;642842550130021;642842622217515;3.44;reverse
2097152;10;5;642842629481233;642842701747426;3.45;reverse
2097152;10;6;642842709054856;642842781166608;3.44;reverse
2097152;10;7;642842788510214;642842860760865;3.45;reverse
2097152;10;8;642842868064811;642842940508792;3.45;reverse
2097152;10;9;642842947795452;642843019838980;3.44;reverse
